Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"04/03/2013","2 Sallins Wood, Sallins","","Kildare","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","22 heathervale, garryduff drive, castlebar","","Mayo","€141,800.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2013","22 Rosebay Drive, Forest Hill Kilnagleary, Carrigaline","","Cork","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","23  Carraig Mhor, Clonmellon","","Westmeath","€33,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","27 Melmore House, Eglington House, Eglinton Road","","Dublin","€207,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","29 Drimnagh Road, Crumlin, Dublin 12","","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","3 Market Street, Cahir","","Tipperary","€55,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","3 Sycamore Drive, Archerstown Wood, Ashbourne","","Meath","€185,848.02","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2013","3 The Crescent, Sallins Park, Sallins","","Kildare","€179,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","31 Greenfields, Model Farm Road, Cork","","Cork","€102,300.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","32 Louisa Park, Leixlip, County Kildare","","Kildare","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","34 Ocean Point, Courtown Harbour, Gorey","","Wexford","€92,511.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2013","36 Abbeywell, Kinsealy, County Dublin","","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","38 Woodlands Hall, Ratoath","","Meath","€118,250.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","39 The Oaks, Frenchpark, Co. Roscommon","","Roscommon","€45,000.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"04/03/2013","4  Stocking Wood Walk, Stocking Avenue, Rathfarnham","Dublin 16","Dublin","€211,454.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/03/2013","4 Sheephaven, Portnablagh, Dunfanaghy","","Donegal","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","40 Ash Meadows, Stranorlar","","Donegal","€63,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2013","41  Boden Heath, Ballyboden, Dublin 16","","Dublin","€201,000.00","No","No","Second-Hand Dwelling house /Apartment",""
